setup_date,breakout_date,ticker,company_name,setup_high,setup_close,breakout_open,breakout_high,breakout_close,entry_price,exit_price,success_binary,return_percentage,setup_mpi,setup_mpi_velocity,setup_mpi_trend,setup_ibs,setup_crt_velocity,setup_higher_hl,setup_valid_crt,setup_vw_range_percentile
2024-07-26,2024-07-29,A17U.SI,CapLand Ascendas REIT,2.4576,2.4393,2.4576,2.476,2.4485,2.4576,2.4485,0,-0.003731,0.1,0.0,Flat,0.6,0.58,1,0,0.38
2024-07-30,2024-07-31,A17U.SI,CapLand Ascendas REIT,2.4668,2.4576,2.4668,2.5127,2.4943,2.4668,2.4943,1,0.011152,0.3,0.1,Expanding,0.75,0.02,0,1,0.88
2024-07-31,2024-08-01,A17U.SI,CapLand Ascendas REIT,2.5127,2.4943,2.4943,2.5677,2.5493,2.5127,2.5493,1,0.014599,0.4,0.1,Expanding,0.6,0.02,1,1,0.92
2024-08-06,2024-08-07,A17U.SI,CapLand Ascendas REIT,2.5186,2.462,2.4809,2.5186,2.4809,2.5186,2.4809,0,-0.014981,0.5,0.0,Flat,0.0,0.14,0,1,0.88
2024-08-12,2024-08-13,A17U.SI,CapLand Ascendas REIT,2.5092,2.4809,2.4998,2.5564,2.5281,2.5092,2.5281,1,0.007519,0.6,-0.1,Contracting,0.4,0.14,0,0,0.56
2024-08-13,2024-08-14,A17U.SI,CapLand Ascendas REIT,2.5564,2.5281,2.5469,2.5564,2.5375,2.5564,2.5375,0,-0.00738,0.6,0.0,Flat,0.5,0.14,1,0,0.88
2024-08-14,2024-08-15,A17U.SI,CapLand Ascendas REIT,2.5564,2.5375,2.5564,2.5658,2.5469,2.5564,2.5469,0,-0.00369,0.6,0.0,Flat,0.7143,0.14,0,0,0.88
2024-08-15,2024-08-16,A17U.SI,CapLand Ascendas REIT,2.5658,2.5469,2.5469,2.5847,2.5658,2.5658,2.5658,1,0.0,0.6,0.0,Flat,0.3333,0.14,1,0,0.26
2024-08-19,2024-08-20,A17U.SI,CapLand Ascendas REIT,2.613,2.6035,2.6035,2.6224,2.613,2.613,2.613,0,-0.0,0.7,0.1,Expanding,0.6667,0.04,1,1,0.76
2024-08-20,2024-08-21,A17U.SI,CapLand Ascendas REIT,2.6224,2.613,2.613,2.6413,2.6318,2.6224,2.6318,1,0.003597,0.8,0.1,Expanding,0.6667,0.04,1,1,0.24
2024-08-22,2024-08-23,A17U.SI,CapLand Ascendas REIT,2.679,2.6696,2.6696,2.679,2.679,2.679,2.679,1,0.0,0.9,0.0,Flat,0.8,0.04,1,1,0.84
2024-08-28,2024-08-29,A17U.SI,CapLand Ascendas REIT,2.6979,2.6979,2.6884,2.7167,2.6979,2.6979,2.6979,0,0.0,0.8,-0.1,Contracting,1.0,0.14,0,1,0.22
